"id","employ","wage","ln_wage","sec_agr","sec_min","sec_man","sec_ele","sec_con","sec_who","sec_tra","sec_fin","sec_soc","sec_other"
"19002322",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19002323",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19002324",1,2700000,14.8087623309746,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19002513",1,1500000,14.2209756660724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19002515",1,2e+06,14.5086577385242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19003005",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19003006",1,1875000,14.4441192173866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19003007",1,2e+05,12.2060726455302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19004002",1,6e+06,15.6072700271923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"190050010",1,5e+05,13.1223633774043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"190050011",1,2200000,14.6039679183285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"190050014",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"190050016",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19005002",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19005003",1,1e+06,13.8155105579643,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19005005",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19005323",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19005324",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19005413",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19005431",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19005432",1,1200000,13.9978321147582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19005511",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"190080010",1,620000,13.3374747570213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"190080011",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"190080017",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19008002",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19008005",1,1650000,14.3162858458768,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19008008",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19008311",1,2300000,14.6484196808994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19008312",1,5e+05,13.1223633774043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19008314",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19008321",1,920000,13.7321289490252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19008322",1,4e+05,12.8992198260901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19008323",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19008511",1,1500000,14.2209756660724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19008512",1,1e+06,13.8155105579643,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19008521",1,2e+06,14.5086577385242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19008522",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19008541",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19009001",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"190090013",1,80000,11.289781913656,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19009002",1,160000,11.982929094216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19009005",1,1200000,13.9978321147582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19009113",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19009117",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19009311",1,1500000,14.2209756660724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19009312",1,8e+05,13.5923670066501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19009313",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19009511",1,8e+05,13.5923670066501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19009512",1,8e+05,13.5923670066501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19010001",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19010002",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19010511",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19012003",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19012006",1,3300000,15.0094330264367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19012511",1,1800000,14.4032972228664,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19012512",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19013001",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19013411",1,1e+06,13.8155105579643,0,0,1,0,0,0,0,0,0,0
"19013412",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19013421",1,750000,13.5278284855125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19013422",1,9e+05,13.7101500423064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19013423",1,3e+05,12.6115377536383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19013431",1,3e+06,14.9141228466324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19013432",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19013511",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19013512",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19013513",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19013517",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19013521",1,7e+05,13.4588356140255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19016002",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19016004",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19016009",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19016511",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19016512",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19017111",1,3e+06,14.9141228466324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19017112",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19017113",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19017114",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19018001",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19018111",1,4e+05,12.8992198260901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19018112",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19018113",1,1150000,13.9552725003394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19018114",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19018115",1,1300000,14.0778748224318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19018117",1,1350000,14.1156151504146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19020001",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19101001",1,5e+06,15.4249484703984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19101002",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19101411",1,1500000,14.2209756660724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19101412",1,1400000,14.1519827945855,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19101511",1,1e+06,13.8155105579643,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19106001",1,3e+06,14.9141228466324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19108001",1,250000,12.4292161968444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19108002",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19108005",1,1700000,14.3461388090264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19108511",1,1200000,13.9978321147582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19108521",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19108523",1,1400000,14.1519827945855,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19108531",1,980000,13.7953078506468,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19109001",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19109002",1,1200000,13.9978321147582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19109005",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19109006",1,1800000,14.4032972228664,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19109511",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19109514",1,1300000,14.0778748224318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"191100014",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"191100015",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"191100017",1,3600000,15.0964444034263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"191100018",1,9e+06,16.0127351353005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19111001",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19111002",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19111006",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19111007",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19111411",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19111412",1,1500000,14.2209756660724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19111511",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19111512",1,1300000,14.0778748224318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19113001",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"191130011",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19113002",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19113004",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19113411",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19113412",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19113413",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19113511",1,1300000,14.0778748224318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19113521",1,1500000,14.2209756660724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19113522",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19114001",1,1300000,14.0778748224318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"191140010",1,1900000,14.4573644441367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19114002",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19114003",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19114006",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19114007",1,750000,13.5278284855125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19114008",1,1500000,14.2209756660724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19114009",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19115002",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19118001",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19118006",1,2680000,14.801327352487,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19118511",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19118512",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19119002",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19119004",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19119007",1,4e+05,12.8992198260901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19119411",1,2500000,14.7318012898384,0,0,0,0,0,0,0,0,1,0
"19119412",1,6e+05,13.3046849341983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19120002",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19120004",1,1600000,14.28551418721,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19120411",1,1200000,13.9978321147582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19204002",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19204005",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19204006",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19204007",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19204411",1,2800000,14.8451299751454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19204412",1,3e+05,12.6115377536383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19204511",1,7500000,15.8304135785065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19204512",1,2500000,14.7318012898384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19205001",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19205002",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19205003",1,1e+07,16.1180956509583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19205511",1,4800000,15.3841264758781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19206001",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19206002",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19206003",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19206004",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19207001",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19207002",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19207312",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19207313",1,2e+06,14.5086577385242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19207411",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19207511",1,1500000,14.2209756660724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19207513",1,1200000,13.9978321147582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19208111",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19208114",1,3e+05,12.6115377536383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19208117",1,3e+06,14.9141228466324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19209001",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19209002",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19209511",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
