"id","hhid14","age","age2","male","married","educ","hhsize","rural","disability","dis_phys","dis_cog","dis_vis","dis_hear","dis_verb","dis_men","dis_autism","employ","wage","ln_wage","sec_agr","sec_min","sec_man","sec_ele","sec_con","sec_who","sec_tra","sec_fin","sec_soc","sec_other"
"10005005","1000500",17,289,1,0,9,3,0,1,1,0,1,0,0,0,0,1,2400000,14.6909792953182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10005511","1000551",50,2500,0,0,9,2,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10006002","1000600",47,2209,1,1,12,4,0,0,0,0,0,0,0,0,0,1,560000,13.2356920627113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10006005","1000600",43,1849,0,1,0,4,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10006007","1000600",15,225,1,0,12,4,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10006009","1000600",25,625,1,0,12,4,0,0,0,0,0,0,0,0,0,1,2650000,14.7900701979624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10006321","1000632",44,1936,1,1,6,2,0,1,0,0,1,0,0,0,0,1,1400000,14.1519827945855,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10006511","1000651",18,324,1,0,0,3,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10007001","1000700",55,3025,1,1,6,3,0,0,0,0,0,0,0,0,0,1,2e+06,14.5086577385242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100070011","1000700",16,256,1,0,9,3,0,0,0,0,0,0,0,0,0,1,1400000,14.1519827945855,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10007002","1000700",49,2401,0,1,6,3,0,1,0,0,1,0,0,0,0,1,60000,11.0020998412042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10007004","1000700",23,529,1,0,9,3,0,0,0,0,0,0,0,0,0,1,1400000,14.1519827945855,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10007005","1000700",20,400,1,0,9,3,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10007006","1000700",19,361,0,0,0,3,0,0,0,0,0,0,0,0,0,1,1e+05,11.5129254649702,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10007511","1000751",36,1296,1,1,12,2,0,0,0,0,0,0,0,0,0,1,2300000,14.6484196808994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10007512","1000751",29,841,0,1,6,2,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100080010","1000800",21,441,0,1,0,3,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10008002","1000800",70,4900,0,0,NA,3,0,0,0,0,0,0,0,0,0,1,3e+05,12.6115377536383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
